Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;151.101.113.208;58615;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;151.101.113.208;58616;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
151.101.113.208;192.168.10.160;443;58615;2;0x00000303;49199;65281,16,23;;;
151.101.113.208;192.168.10.160;443;58616;2;0x00000303;49199;65281,16,23;;;
192.168.10.160;104.18.22.27;58617;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;eu-client.fwf.deliveryhero.net;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;104.17.20.60;58618;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;static.fd-api.com;0x0000001d,0x00000017,0x00000018;0
104.18.22.27;192.168.10.160;443;58617;2;0x00000303;4865;51,43;;;
104.17.20.60;192.168.10.160;443;58618;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
192.168.10.160;69.171.250.15;58619;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58619;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;142.250.185.106;58620;443;1;0x00000303;49196,49195,49200,49199;0,23,65281,10,11,35,16,5,13;firebaseinappmessaging.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.185.106;192.168.10.160;443;58620;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;185.151.204.9;58621;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;185.151.204.9;58622;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.9;192.168.10.160;443;58621;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
185.151.204.9;192.168.10.160;443;58622;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;142.250.186.138;58623;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseremoteconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.186.138;192.168.10.160;443;58623;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;185.151.204.9;58625;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;142.250.186.138;58624;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;firebaseremoteconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.9;192.168.10.160;443;58625;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
142.250.186.138;192.168.10.160;443;58624;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;35.190.10.112;58626;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;px-conf.perimeterx.net;0x0000001d,0x00000017,0x00000018;0
35.190.10.112;192.168.10.160;443;58626;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;35.186.220.184;58627;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;collector-pxljub4etb.cl6.perimeterx.net;0x0000001d,0x00000017,0x00000018;0
35.186.220.184;192.168.10.160;443;58627;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;185.151.204.9;58628;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.9;192.168.10.160;443;58628;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;216.58.201.78;58630;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;clients4.google.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.78;192.168.10.160;443;58630;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;216.58.201.78;58631;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;clients4.google.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.78;192.168.10.160;443;58631;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;104.16.136.15;58632;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;geocoder.deliveryhero.io;0x0000001d,0x00000017,0x00000018;0
104.16.136.15;192.168.10.160;443;58632;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
192.168.10.160;216.58.201.78;58633;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;clients4.google.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;216.58.201.78;58634;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;clients4.google.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.78;192.168.10.160;443;58633;2;0x00000303;49195;23,65281,11,16;;;0
216.58.201.78;192.168.10.160;443;58634;2;0x00000303;49195;23,65281,11,16;;;0
192.168.10.160;104.16.136.15;58635;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;geocoder.deliveryhero.io;0x0000001d,0x00000017,0x00000018;0
104.16.136.15;192.168.10.160;443;58635;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
192.168.10.160;64.233.188.94;58637;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;csi.gstatic.com;0x0000001d,0x00000017,0x00000018;0
64.233.188.94;192.168.10.160;443;58637;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;216.58.201.72;58639;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;ssl.google-analytics.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.72;192.168.10.160;443;58639;2;0x00000303;49195;23,65281,11,16;;;0
192.168.10.160;151.101.113.208;58640;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
151.101.113.208;192.168.10.160;443;58640;2;0x00000303;49199;65281,16,23;;;
192.168.10.160;216.58.201.78;58642;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,21;clients4.google.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.78;192.168.10.160;443;58642;2;0x00000303;49195;23,65281,11,16;;;0
192.168.10.160;151.101.113.208;58645;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;151.101.113.208;58644;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
151.101.113.208;192.168.10.160;443;58644;2;0x00000303;49199;65281,16,23;;;
151.101.113.208;192.168.10.160;443;58645;2;0x00000303;49199;65281,16,23;;;
